occurrences	io_formula	display_formula
3	[1,96]([1,102]([1,12]([1,95]([6,467],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,497],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,497],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,497],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,497],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,529],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,529],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,529],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,529],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,541],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,541],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,541],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,541],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,776],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,776],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,776],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,776],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,793],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,793],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,793],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,793],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,840],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,840],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,840],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,840],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,857],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,857],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,857],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,857],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,873],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,873],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,873],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,873],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,874],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,874],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,874],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,874],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,882],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,882],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,882],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,882],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,883],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,883],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,883],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,883],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,892],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,892],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,892],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,892],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,922],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,922],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,922],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,922],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,931],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,931],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,931],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,931],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,957],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,957],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,957],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,957],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,962],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,962],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,962],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,962],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,971],[5,2,"180"])),[5,2,"1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-180),1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,971],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,971],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,971],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,980],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,980],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,980],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,998],[5,2,"30"])),[5,2,"-1"],[5,2,"0"],[1,102]([1,12]([1,95]([6,998],[5,2,"60"])),[5,2,"1"],[5,2,"0"],[6,17])),[6,20])	DECODE(SIGN(Doub6-30),-1,0,DECODE(SIGN(Doub6-60),1,0,W Dsqlhttj))*Zi Chbblh
3	[1,96]([1,102]([1,12]([1,95]([6,998],[5,2,"30"])),[5,2,"-1"],[6,17],[5,2,"0"]),[6,20])	DECODE(SIGN(Doub6-30),-1,W Dsqlhttj,0)*Zi Chbblh
3	[1,96]([1,102]([1,12]([6,192]),[5,2,"-1"],[6,17],[1,115]()),[6,20])	DECODE(SIGN(Doub6),-1,W Dsqlhttj,NULL)*Zi Chbblh
3	[1,96]([1,102]([1,12]([6,201]),[5,2,"-1"],[6,17],[1,115]()),[6,20])	DECODE(SIGN(Doub6),-1,W Dsqlhttj,NULL)*Zi Chbblh
3	[1,96]([1,102]([1,12]([6,228]),[5,2,"-1"],[6,17],[1,115]()),[6,20])	DECODE(SIGN(Doub6),-1,W Dsqlhttj,NULL)*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1229],[5,2,"120"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1229],[5,2,"90"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-120),1,NULL,DECODE(SIGN(Doub6-90),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1229],[5,2,"150"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1229],[5,2,"120"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-150),1,NULL,DECODE(SIGN(Doub6-120),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1229],[5,2,"180"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1229],[5,2,"150"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-180),1,NULL,DECODE(SIGN(Doub6-150),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1229],[5,2,"180"])),[5,2,"1"],[6,17],[1,115]())),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-180),1,W Dsqlhttj,NULL))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1229],[5,2,"60"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1229],[5,2,"30"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-60),1,NULL,DECODE(SIGN(Doub6-30),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1229],[5,2,"90"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1229],[5,2,"60"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-90),1,NULL,DECODE(SIGN(Doub6-60),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1247],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1247]),[5,2,"-1"],[1,102]([6,16],[5,2,"3"],[6,17],[5,2,"4"],[6,17],[1,115]()),[6,17]))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,DECODE(Dz Knkozvb,3,W Dsqlhttj,4,W Dsqlhttj,NULL),W Dsqlhttj)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1256],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1256]),[5,2,"-1"],[1,115](),[6,17]))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,NULL,W Dsqlhttj)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1301],[5,2,"120"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1301],[5,2,"90"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-120),1,NULL,DECODE(SIGN(Doub6-90),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1301],[5,2,"150"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1301],[5,2,"120"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-150),1,NULL,DECODE(SIGN(Doub6-120),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1301],[5,2,"180"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1301],[5,2,"150"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-180),1,NULL,DECODE(SIGN(Doub6-150),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1301],[5,2,"180"])),[5,2,"1"],[6,17],[1,115]())),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-180),1,W Dsqlhttj,NULL))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1301],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1301]),[5,2,"-1"],[1,115](),[6,17]))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,NULL,W Dsqlhttj)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1301],[5,2,"60"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1301],[5,2,"30"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-60),1,NULL,DECODE(SIGN(Doub6-30),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1301],[5,2,"90"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1301],[5,2,"60"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-90),1,NULL,DECODE(SIGN(Doub6-60),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1310],[5,2,"120"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1310],[5,2,"90"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-120),1,NULL,DECODE(SIGN(Doub6-90),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1310],[5,2,"150"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1310],[5,2,"120"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-150),1,NULL,DECODE(SIGN(Doub6-120),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1310],[5,2,"180"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1310],[5,2,"150"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-180),1,NULL,DECODE(SIGN(Doub6-150),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1310],[5,2,"180"])),[5,2,"1"],[6,17],[1,115]())),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-180),1,W Dsqlhttj,NULL))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1310],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1310]),[5,2,"-1"],[1,115](),[6,17]))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,NULL,W Dsqlhttj)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1310],[5,2,"60"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1310],[5,2,"30"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-60),1,NULL,DECODE(SIGN(Doub6-30),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1310],[5,2,"90"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1310],[5,2,"60"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-90),1,NULL,DECODE(SIGN(Doub6-60),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1325],[5,2,"120"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1325],[5,2,"90"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-120),1,NULL,DECODE(SIGN(Doub6-90),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1325],[5,2,"150"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1325],[5,2,"120"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-150),1,NULL,DECODE(SIGN(Doub6-120),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1325],[5,2,"180"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1325],[5,2,"150"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,NULL,DECODE(SIGN(Doub6-150),1,W Dsqlhttj,NULL)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1325],[5,2,"180"])),[5,2,"1"],[6,17],[1,115]())),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,W Dsqlhttj,NULL))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1325],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1325]),[5,2,"-1"],[1,102]([6,16],[5,2,"3"],[6,17],[5,2,"4"],[6,17],[1,115]()),[6,17]))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,DECODE(Rz,3,W Dsqlhttj,4,W Dsqlhttj,NULL),W Dsqlhttj)))*Zi Chbblh
3	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1325],[5,2,"60"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1325],[5,2,"30"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-60),1,NULL,DECODE(SIGN(Doub6-30),1,W Dsqlhttj,NULL)))*Zi Chbblh
